DateRep	WT	Alpha	Delta	BA1	BA2	BA5	BQ1__BA2_75	XBB_	BA2_86	KP3
2022-07-19	0	0	0	0.00155836904995344	0.0152757905860156	0.972488412884191	0.00180829392945098	0	0	0
2022-07-20	0	0	0	0.00156756944612459	0.0142301432463823	0.973914556261524	0.0018441938017738	0	0	0
2022-07-21	0	0	0	0.00157800387047536	0.0132976244722396	0.975225491594683	0.00188239719900748	0	0	0
2022-07-22	0	0	0	0.0015896333442946	0.0124662885003026	0.976431052672742	0.00192304882188975	0	0	0
2022-07-23	0	0	0	0.00160241985124849	0.0117242887768521	0.977540127785369	0.00196630478367396	0	0	0
2022-07-24	0	0	0	0.00161632595963532	0.0110610563515662	0.978560751814751	0.00201233365499083	0	0	0
2022-07-25	0	0	0	0.0016313144587073	0.0104674610660743	0.979500189316089	0.00206131761341433	0	0	0
2022-07-26	0	0	0	0.00164734800751572	0.00993559971963574	0.980365009364088	0.0021134537093942	0	0	0
2022-07-27	0	0	0	0.00166438879507518	0.00945861745006398	0.981161152902112	0.00216895526161823	0	0	0
2022-07-28	0	0	0	0.00168239821096679	0.00903055688964774	0.98189399328414	0.00222805339644891	0	0	0
2022-07-29	0	0	0	0.00170133652581023	0.00864623056539899	0.982568390650171	0.00229099874786485	0	0	0
2022-07-30	0	0	0	0.00172116258133436	0.00830111277152029	0.983188740725444	0.00235806333635629	0	0	0
2022-07-31	0	0	0	0.00174183349006686	0.00799124777311509	0.98375901858417	0.00242954264750754	0	0	0
2022-08-01	0	0	0.00185558455744941	0.00176330434494637	0.00771317172445925	0.984282817870538	0.00250574573162858	0	0	0
2022-08-02	0	0	0.00186025979508824	0.00178552793943713	0.00746384612029654	0.984763385924086	0.00258693789146504	0	0	0
2022-08-03	0	0	0.00186479515257645	0.00180845449899539	0.00724060095962417	0.985203655213632	0.00267337900328865	0	0	0
2022-08-04	0	0	0.00186919204397452	0.00183203142500038	0.00704108610092778	0.98560627144398	0.00276534662912735	0	0	0
2022-08-05	0	0	0.00187345193779458	0.0018562030525172	0.00686322953636833	0.985973618662617	0.00286313688064062	0	0	0
2022-08-06	0	0	0.00187757635556051	0.00188091042350611	0.00670520151880759	0.986307841659557	0.00296706530280689	0	0	0
2022-08-07	0	0	0.001881566870364	0.00190609107732845	0.00656538364707391	0.986610865922343	0.00307746779950978	0	0	0
2022-08-08	0	0	0	0	0.00644234215755278	0.986884415379645	0.00319470159972309	0	0	0
2022-08-09	0	0	0	0	0.00633480478902218	0.98713002814097	0.00331914626266504	0	0	0
2022-08-10	0	0	0	0	0.00624164068675782	0.987349070416295	0.00345120471990735	0	0	0
2022-08-11	0	0	0	0	0.00616184289470552	0.987542748777908	0.00359130435198018	0	0	0
2022-08-12	0	0	0	0	0.00609451305375982	0.987712120907102	0.00373989809650787	0	0	0
2022-08-13	0	0	0	0	0.00603884798221289	0.987858104950489	0.00389746558433618	0	0	0
2022-08-14	0	0	0	0	0.00599412786315762	0.987981487594293	0.0040645142994689	0	0	0
2022-08-15	0	0	0.00190887512551469	0.00211579481723714	0.00595970580462359	0.988082930950005	0.00424158075791347	0	0	0
2022-08-16	0	0	0.00191173909636161	0.00214177179768026	0.00593499857280094	0.988162978330905	0.00442923169974033	0	0	0
2022-08-17	0	0	0.00191448741405969	0.00216737579109359	0.00591947832795065	0.988222058986147	0.00462806528778409	0	0	0
2022-08-18	0	0	0.00191712212409344	0.00219249935199799	0.00591266521740818	0.988260491847141	0.00483871230545504	0	0	0
2022-08-19	0	0	0.00191964530644828	0.00221703128195785	0.00591412070120983	0.988278488329684	0.0050618373450829	0	0	0
2022-08-20	0	0	0.00192205907425425	0.00224085688299005	0.00592344150392919	0.988276154224645	0.00529813997708031	0	0	0
2022-08-21	0	0	0.00192436557244588	0.00226385826546984	0.00594025410182536	0.988253490699724	0.0055483558889908	0	0	0
2022-08-22	0	0	0.00192656697643954	0.00228591471233297	0.00596420966780689	0.988210394424917	0.00581325798217354	0	0	0
2022-08-23	0	0	0.00192866549082913	0.00230692192144955	0.00599497940837089	0.988146656824512	0.00609365741247841	0	0	0
2022-08-24	0	0	0.00193066334810133	0.00232685024082833	0.00603225023688612	0.9880619624488	0.00639040455978105	0	0	0
2022-08-25	0	0	0.00193256280737142	0.0023456907448825	0.0060757207366089	0.987955886448908	0.00670438990968427	0	0	0
2022-08-26	0	0	0.00193436615314056	0.00236343674133326	0.00612509737486059	0.987827904015234	0.00703654482905619	0	0	0
2022-08-27	0	0	0.00193607569407552	0.00238008374117893	0.00618009093703476	0.98767760788158	0.00738784221537431	0	0	0
2022-08-28	0	0	0.00193769376181172	0.00239562942210753	0.00624041315568357	0.987504687359488	0.0077592969980926	0	0	0
2022-08-29	0	0	0.00193922270978046	0.00241007358572917	0.00630577351598047	0.987308740829734	0.00815196646845737	0	0	0
2022-08-30	0	0	0.00194066491206114	0.00242341810902193	0.00637587622446184	0.987089270635291	0.00856695041238705	0	0	0
2022-08-31	0	0	0.00194202276225917	0.00243566689039871	0.0064504173331937	0.986845683945151	0.00900539101922012	0	0	0
2022-09-01	0	0	0.00194329867241043	0.0024468257908132	0.00652908201644515	0.986577293116516	0.0094684725373531	0	0	0
2022-09-02	0	0	0.00194449507191284	0.00245690257033111	0.00661154200161997	0.986283315607874	0.00995742064606029	0	0	0
2022-09-03	0	0	0.00194561440648573	0.00246590682059799	0.00669745316062438	0.985962873491963	0.0104735015111484	0	0	0
2022-09-04	0	0	0.00194665913715772	0.00247384989363709	0.00678645327204224	0.985614992615071	0.0110180204905858	0	0	0
2022-09-05	0	0	0.00194763173928351	0.0024807448274106	0.00687815996844362	0.985238601447543	0.0115923204549021	0.00336819636125453	0	0
2022-09-06	0	0	0.00194853470159028	0.00248660626857486	0.00697216888685064	0.984832529669587	0.012197779686028	0.00347112722030618	0	0
2022-09-07	0	0	0.00194937052525412	0.00249145039285499	0.00706805204379397	0.984395506536542	0.0128358093173841	0.00357716404750425	0	0
2022-09-08	0	0	0.00195014172300701	0.00249529482345731	0.00716535645947223	0.983926159068576	0.0135078502774953	0.00368636986755894	0	0
2022-09-09	0	0	0.00195085081827471	0.00249815854792866	0.00726360305822097	0.983423010111334	0.0142153696992535	0.00379880682816315	0	0
2022-09-10	0	0	0.00195150034434612	0.00250006183386065	0.00736228587474306	0.982884476316312	0.014959856757252	0.00391453601268546	0	0
2022-09-11	0	0	0.00195209284357435	0.00250102614382431	0.00746087159727844	0.982308866092597	0.0157428178964193	0.00403361724247739	0	0
2022-09-12	0	0	0.00195263086660987	0.00250107404990631	0.00755879948001764	0.981694377585235	0.0165657714165765	0.0041561088686765	0	0
2022-09-13	0	0	0.00195311697166614	0.00250022914820264	0.00765548165750717	0.981039096739578	0.0174302413795755	0.0042820675534214	0	0
2022-09-14	0	0	0.00195355372381793	0.0024985159736089	0.0077503038934718	0.980340995515747	0.0183377508084338	0.00441154804043297	0	0
2022-09-15	0	0	0.00195394369433266	0.00249595991522878	0.00784262679530018	0.979597930322585	0.0192898141514156	0.00454460291495744	0	0
2022-09-16	0	0	0.00195428946003489	0.00249258713270423	0.00793178752332722	0.978807640746238	0.0202879289883788	0.00468128235311301	0	0
2022-09-17	0	0	0.00195459360270438	0.00248842447375143	0.00801710202092243	0.977967748654669	0.0213335669619776	0.00482163386072958	0	0
2022-09-18	0	0	0.0019548587085077	0.00248349939316781	0.00809798140236083	0.977075757765922	0.0224281639225069	0.00496570200182466	0	0
2022-09-19	0	0	0.00195508736746366	0.00247783987355489	0.00817428457918235	0.976129053774733	0.0235731092823435	0.00511352811691456	0	0
2022-09-20	0	0	0.00195528217294277	0.00247147434798246	0.00824599410838629	0.975124905138965	0.0247697345840848	0.00526515003141985	0	0
2022-09-21	0	0	0.00195544572120074	0.00246443162479926	0.00831310462631917	0.974060464634285	0.0260193012956206	0.00542060175448832	0	0
2022-09-22	0	0	0.00195558061094623	0.00245674081477551	0.00837562254246379	0.972932771792232	0.0273229878554575	0.00557991316862551	0	0
2022-09-23	0	0	0.00195568944294292	0.0024484312607429	0.00843356569455452	0.971738756343249	0.0286818760026247	0.00574310971059407	0	0
2022-09-24	0	0	0.00195577481964597	0.00243953246987844	0.00848696296863132	0.970475242792108	0.0300969364373344	0.00591021204411752	0	0
2022-09-25	0	0	0.00195583934487297	0.0024300740487594	0.00853585388769674	0.969138956258219	0.0315690887775331	0.00608123572500111	0	0
2022-09-26	0	0	0.00195588562350939	0.00242008564129815	0.00858028817266218	0.967726529717272	0.0330997479245047	0.00625619085936351	0	0
2022-09-27	0	0	0.00195591626124865	0.0024095968696479	0.00862032527926303	0.966234512783294	0.0346906126635959	0.00643508175575591	0	0
2022-09-28	0	0	0.00195593386436678	0.00239863727815297	0.00865603391458804	0.964659382171043	0.0363434086923401	0.00661790657203106	0	0
2022-09-29	0	0	0.00195594103953168	0.00238723628040081	0.0086874915368108	0.962997553977518	0.0380598864700473	0.00680465695791285	0	0
2022-09-30	0	0	0.00195594039364713	0.00237542310941706	0.00871478384162919	0.961245397917675	0.0398418206890507	0.00699531769430652	0	0
2022-10-01	0	0	0.00195593453373137	0.00236322677103023	0.00873800423881828	0.959399253642981	0.0416910096965285	0.00718986633048108	0	0
2022-10-02	0	0	0.00195592606683041	0.0023506760004182	0.00875725332218151	0.957455449261696	0.0436092748637333	0.0073882728203471	0	0
2022-10-03	0	0	0	0.00233779922183563	0.0087726383360506	0.955410322166425	0.0455984598992177	0.00759049915914609	0	0
2022-10-04	0	0	0	0.00232462451150916	0.00878427264133446	0.953260242257124	0.0476604301023883	0.00779649902195971	0	0
2022-10-05	0	0	0	0.00231117956367558	0.00879227518395701	0.951001637626075	0.0497970715534496	0.00800621740553865	0	0
2022-10-06	0	0	0	0.00229749165972789	0.00879676996835373	0.948631022745064	0.0520102902355315	0.00821959027504157	0	0
2022-10-07	0	0	0	0.00228358764042438	0.00879788553851941	0.946145029163984	0.054302011084502	0.00843654421736285	0	0
2022-10-08	0	0	0	0.00226949388110736	0.00879575446891613	0.943540438694109	0.0566741769616834	0.00865699610281281	0	0
2022-10-09	0	0	0	0.00225523626987018	0.00879051286736533	0.940814219008559	0.0591287475443904	0.00888085275699712	0	0
2022-10-10	0	0	0	0	0.00878229989185902	0.937963561547077	0.0616676981289074	0.00910801064481913	0	0
2022-10-11	0	0	0	0	0.00877125728303781	0.934985921562525	0.0642930183402228	0.00933835556860173	0	0
2022-10-12	0	0	0	0	0.00875752891389658	0.93187906009309	0.0670067107425329	0.00957176238239278	0	0
2022-10-13	0	0	0	0	0.00874126035809582	0.928641061132021	0.0698107893442259	0.00980809472457722	0	0
2022-10-14	0	0	0	0	0.00872259847807636	0.925269561225421	0.0727072779907624	0.0100472047709723	0	0
2022-10-15	0	0	0	0	0.00870169103400243	0.921761478889576	0.0756982086385793	0.0102889330106259	0	0
2022-10-16	0	0	0	0	0.00867868631438936	0.918113829270271	0.0787856195028624	0.0105331080465732	0	0
2022-10-17	0	0	0	0.00213816629249316	0.00865373278911239	0.914323796171136	0.0819715530717736	0.0107795464238295	0	0
2022-10-18	0	0	0	0.00212344219889442	0.00862697878534064	0.910388755340212	0.085258053979469	0.0110280524869133	0	0
2022-10-19	0	0	0	0.00210873442240431	0.0085985721867963	0.906306298383795	0.0886471667300221	0.0112784182691928	0	0
2022-10-20	0	0	0	0.00209405029854448	0.00856866015660481	0.902074257158037	0.0921409332641713	0.0115304234163388	0	0
2022-10-21	0	0	0	0.00207939697819821	0.00853738888387628	0.897690728469213	0.0957413903606443	0.0117838351461422	0	0
2022-10-22	0	0	0	0.00206478142834797	0.00850490335404392	0.893154098894347	0.0994505668636901	0.0120384082469157	0	0
2022-10-23	0	0	0	0.00205021043304944	0.00847134714287916	0.888463069515632	0.103270480728365	0.0122938851166458	0	0
