anteil_positiv_tests,region,DatumDesMittwochs,Alter,typ,logit_anteil_positiv_tests,dunkelziffer_aus_posrate_logit
0.0215868506493506,Saxony,2020-09-30,15-34,alterspezifisch,-3.81384766084672,0.715413443917577
0.00721318144833198,Saxony-Anhalt,2020-09-30,15-34,alterspezifisch,-4.92460584781694,0.505309994428684
0.00721318144833198,Schleswig Holstein,2020-09-30,15-34,alterspezifisch,-4.92460584781694,0.505309994428684
0.0144087769199512,Thuringia,2020-09-30,15-34,alterspezifisch,-4.22540415834829,0.637566221363669
0.014,Baden-Württemberg,2020-09-30,35-59,alterspezifisch,-4.25459902498738,0.632043919335924
0.007,Bavaria,2020-09-30,35-59,alterspezifisch,-4.95482051498986,0.499594793881295
0.023,Berlin,2020-09-30,35-59,alterspezifisch,-3.74899243611363,0.727681016278189
0.009,Brandenburg,2020-09-30,35-59,alterspezifisch,-4.70148995699377,0.547513075934301
0.015,Bremen,2020-09-30,35-59,alterspezifisch,-4.18459144006988,0.645286077038739
0.009,Hamburg,2020-09-30,35-59,alterspezifisch,-4.70148995699377,0.547513075934301
0.023,Hesse,2020-09-30,35-59,alterspezifisch,-3.74899243611363,0.727681016278189
0.009,Mecklenburg Western Pomerania,2020-09-30,35-59,alterspezifisch,-4.70148995699377,0.547513075934301
0.014,Lower Saxony,2020-09-30,35-59,alterspezifisch,-4.25459902498738,0.632043919335924
0.016,Northrhine-Westphalia,2020-09-30,35-59,alterspezifisch,-4.11903717481247,0.657685875141384
0.019,Rhineland Palatinate,2020-09-30,35-59,alterspezifisch,-3.94413348039892,0.690769466111687
0,Saarland,2020-09-30,35-59,alterspezifisch,-Inf,0
0.018,Saxony,2020-09-30,35-59,alterspezifisch,-3.9992195504583,0.680349760478158
0.006,Saxony-Anhalt,2020-09-30,35-59,alterspezifisch,-5.10997773742852,0.470246310989265
0.006,Schleswig Holstein,2020-09-30,35-59,alterspezifisch,-5.10997773742852,0.470246310989265
0.012,Thuringia,2020-09-30,35-59,alterspezifisch,-4.41077604795987,0.60250253792425
0.0111977263499797,Baden-Württemberg,2020-09-30,60-79,alterspezifisch,-4.48078363287737,0.589260380221434
0.0055909183052909,Bavaria,2020-09-30,60-79,alterspezifisch,-5.18100512287985,0.456811254766806
0.0184299369534269,Berlin,2020-09-30,60-79,alterspezifisch,-3.97517704400362,0.6848974771637
0.00719123909957412,Brandenburg,2020-09-30,60-79,alterspezifisch,-4.92767456488376,0.504729536819812
0.012,Bremen,2020-09-30,60-79,alterspezifisch,-4.41077604795987,0.60250253792425
0.00719123909957412,Hamburg,2020-09-30,60-79,alterspezifisch,-4.92767456488376,0.504729536819812
0.0184299369534269,Hesse,2020-09-30,60-79,alterspezifisch,-3.97517704400362,0.6848974771637
0.00719123909957412,Mecklenburg Western Pomerania,2020-09-30,60-79,alterspezifisch,-4.92767456488376,0.504729536819812
0.0111977263499797,Lower Saxony,2020-09-30,60-79,alterspezifisch,-4.48078363287737,0.589260380221434
0.0128025995125914,Northrhine-Westphalia,2020-09-30,60-79,alterspezifisch,-4.34522178270246,0.614902336026895
0.0152123552123552,Rhineland Palatinate,2020-09-30,60-79,alterspezifisch,-4.17031808828891,0.647985926997198
0,Saarland,2020-09-30,60-79,alterspezifisch,-Inf,0
0.0144087769199512,Saxony,2020-09-30,60-79,alterspezifisch,-4.22540415834829,0.637566221363669
0.00479124442642886,Saxony-Anhalt,2020-09-30,60-79,alterspezifisch,-5.33616234531851,0.427462771874776
0.00479124442642886,Schleswig Holstein,2020-09-30,60-79,alterspezifisch,-5.33616234531851,0.427462771874776
0.00959415584415584,Thuringia,2020-09-30,60-79,alterspezifisch,-4.63696065584986,0.559718998809761
0.00839659021717069,Baden-Württemberg,2020-09-30,>=80,alterspezifisch,-4.77149754191127,0.534270918231486
0.00418639951426836,Bavaria,2020-09-30,>=80,alterspezifisch,-5.47171903191375,0.401821792776858
0.013844978610715,Berlin,2020-09-30,>=80,alterspezifisch,-4.26589095303752,0.629908015173752
0.0053868746202147,Brandenburg,2020-09-30,>=80,alterspezifisch,-5.21838847391766,0.449740074829864
0.009,Bremen,2020-09-30,>=80,alterspezifisch,-4.70148995699377,0.547513075934301
0.0053868746202147,Hamburg,2020-09-30,>=80,alterspezifisch,-5.21838847391766,0.449740074829864
0.013844978610715,Hesse,2020-09-30,>=80,alterspezifisch,-4.26589095303752,0.629908015173752
0.0053868746202147,Mecklenburg Western Pomerania,2020-09-30,>=80,alterspezifisch,-5.21838847391766,0.449740074829864
0.00839659021717069,Lower Saxony,2020-09-30,>=80,alterspezifisch,-4.77149754191127,0.534270918231486
0.00960390006093845,Northrhine-Westphalia,2020-09-30,>=80,alterspezifisch,-4.63593569173636,0.559912874036947
0.011418547895058,Rhineland Palatinate,2020-09-30,>=80,alterspezifisch,-4.46103199732281,0.59299646500725
0,Saarland,2020-09-30,>=80,alterspezifisch,-Inf,0
0.0108131734092295,Saxony,2020-09-30,>=80,alterspezifisch,-4.51611806738219,0.58257675937372
0.00358689055229617,Saxony-Anhalt,2020-09-30,>=80,alterspezifisch,-5.62687625435241,0.372473309884828
0.00358689055229617,Schleswig Holstein,2020-09-30,>=80,alterspezifisch,-5.62687625435241,0.372473309884828
0.00719123909957412,Thuringia,2020-09-30,>=80,alterspezifisch,-4.92767456488376,0.504729536819812
0.0196373963092717,Baden-Württemberg,2020-10-07,0-14,alterspezifisch,-3.91048678366913,0.697133845982808
0.0115924596200564,Bavaria,2020-10-07,0-14,alterspezifisch,-4.44574024896457,0.595888947922497
0.0285948846763195,Berlin,2020-10-07,0-14,alterspezifisch,-3.52551575146948,0.769952343084387
0.0178482587416529,Brandenburg,2020-10-07,0-14,alterspezifisch,-4.00783986510326,0.678719200502251
0.0348768531847547,Bremen,2020-10-07,0-14,alterspezifisch,-3.32043232983328,0.808744525599182
0.0133788502235827,Hamburg,2020-10-07,0-14,alterspezifisch,-4.30061100706251,0.623340606350966
0.0303887460884871,Hesse,2020-10-07,0-14,alterspezifisch,-3.46282287658899,0.781810900082014
0.00534626064420585,Mecklenburg Western Pomerania,2020-10-07,0-14,alterspezifisch,-5.22599730442115,0.448300840301492
0.015166025028092,Lower Saxony,2020-10-07,0-14,alterspezifisch,-4.17341534308358,0.647400071386193
0.0187427293064877,Northrhine-Westphalia,2020-10-07,0-14,alterspezifisch,-3.95802877179972,0.688141127478484
0.0232180299946825,Rhineland Palatinate,2020-10-07,0-14,alterspezifisch,-3.73933433261368,0.729507877321991
0.00356339256563411,Saarland,2020-10-07,0-14,alterspezifisch,-5.63347246345734,0.371225615919793
0.0330810179808015,Saxony,2020-10-07,0-14,alterspezifisch,-3.37515506614653,0.798393545701166
0.00802202895224409,Saxony-Anhalt,2020-10-07,0-14,alterspezifisch,-4.8175095239864,0.525567605246528
0.00980685270147282,Schleswig Holstein,2020-10-07,0-14,alterspezifisch,-4.61481862581697,0.563907234325976
0.0160599066671018,Thuringia,2020-10-07,0-14,alterspezifisch,-4.11523911745093,0.658404289790384
