Bundesland	DatumDesMittwochs	Dunkelziffer_0-14	Dunkelziffer_15-34	Dunkelziffer_35-59	Dunkelziffer_60-79	Dunkelziffer_>=80	Dunkelziffer_all
Hamburg	2022-09-28	1.20774714353828	1.2193233248483	1.29657044892222	1.21145460860357	1.09949178749322	1.2146098247021
Hamburg	2022-10-05	1.18560447144061	1.24836648470525	1.31613922245375	1.23851339719278	1.13602104409271	1.23699540924839
Hamburg	2022-10-12	1.19494113280695	1.25326308428457	1.32306884841239	1.26316139694515	1.18911659827277	1.25249987024065
Hamburg	2022-10-19	1.23927145309157	1.27005800534959	1.33555947849974	1.27083179732905	1.21840343432369	1.26928373826115
Hamburg	2022-10-26	1.24222433450467	1.23912998297484	1.30683533380943	1.23005962964976	1.19142691392353	1.23994849613725
Hamburg	2022-11-02	1.19208082188336	1.18907044586045	1.23595843763262	1.14333031941153	1.12050596012498	1.17221953787107
Hamburg	2022-11-09	1.18662477996929	1.17901581925074	1.218393061678	1.12738841834798	1.11226876303165	1.15883110222104
Hamburg	2022-11-16	1.11808783030597	1.12636550337361	1.16584980284785	1.05989381169611	1.04551056352333	1.10270895873292
Hamburg	2022-11-23	1.1578760705221	1.20405840582962	1.24821884190978	1.13630795599903	1.12454090480874	1.17928675204767
Hamburg	2022-11-30	1.10826257560844	1.20797173346012	1.25887040274739	1.1491701202212	1.14315658064532	1.18733919318739
Hamburg	2022-12-07	1.05056327590572	1.2047714537608	1.26044875150641	1.15158774598684	1.15268824470195	1.1862010154612
Hamburg	2022-12-14	1.06403860930314	1.23777524618489	1.2848738764069	1.18552073809424	1.19155779743243	1.21670187825216
Hamburg	2022-12-21	1.10198674695531	1.28288079271386	1.34494306768973	1.25403626245282	1.24080485420335	1.27202037722268
Hamburg	2022-12-28	1.10383949967691	1.28248874163978	1.32910588665753	1.23080584252997	1.23080584252997	1.25910419533868
Hamburg	2023-01-04	1.0123242631723	1.19132305137582	1.208562039928	1.1178131557992	1.14670103952076	1.15758435582055
Hamburg	2023-01-11	0.985104615997876	1.06517976195051	1.05902172749825	0.967195037540309	1.02334638048099	1.01909174349235
Baden-Württemberg	2020-03-18	0.826312842311604	1.04216638333639	1.07064081020591	1.12465004309043	1.1227101923733	1.05814265976196
Baden-Württemberg	2020-03-25	0.921895244914541	1.0364561676018	1.06282055918714	1.16177249772494	1.16925260255165	1.07387547083536
Baden-Württemberg	2020-04-01	0.96472356274914	1.02926726000493	1.04190507952939	1.13089038092596	1.15513336383314	1.06525699401215
Baden-Württemberg	2020-04-08	0.971451964766309	1.01498845021441	1.01783771155943	1.06604908044207	1.09605297857451	1.03940468888075
Baden-Württemberg	2020-04-15	0.93144972626925	0.975864160560143	0.979354557151046	1.01146088064208	1.05223440937404	0.999183461179355
Baden-Württemberg	2020-04-22	0.86112564954378	0.932502361120647	0.896432776767784	0.924055110666664	0.977110113030605	0.932502361120647
Baden-Württemberg	2020-04-29	0.693203912599898	0.797913878220933	0.779299737715141	0.803756370769787	0.858942656079018	0.809435367884309
Baden-Württemberg	2020-05-06	0.667364816509642	0.719079316670581	0.682167766504079	0.701484898558649	0.750184653876248	0.719079316670581
Baden-Württemberg	2020-05-13	0.605463438921783	0.653467843373644	0.607984454300696	0.580532795872227	0.653467843373644	0.632043919335924
Baden-Württemberg	2020-05-20	0.557178725741143	0.62814449372971	0.588293037198596	0.556311323602076	0.60250253792425	0.60250253792425
Baden-Württemberg	2020-05-27	0.510560937443582	0.520447409100955	0.450126066424987	0.427656255234451	0.427656255234451	0.470246310989265
Baden-Württemberg	2020-06-03	0.522606164422671	0.496378848691734	0.435569408421751	0.38077245466725	0.346095552099735	0.435569408421751
Baden-Württemberg	2020-06-10	0.554464088271945	0.577054067061779	0.474146323018824	0.367722615745096	0.41012093755928	0.499594793881295
Baden-Württemberg	2020-06-17	0.423161828274175	0.43135644246889	0.381155344357201	0.206693110466187	0.152087312461007	0.338565288602387
Baden-Württemberg	2020-06-24	0.393171086607567	0.470437851552603	0.422519569499597	0.316095862225868	0.261490064220688	0.393171086607567
Baden-Württemberg	2020-07-01	0.424694291342087	0.490366362176252	0.435569408421751	0.303888386034872	0.227003741919804	0.435569408421751
Baden-Württemberg	2020-07-08	0.374461743117411	0.482644942929582	0.427847989175081	0.296166966788203	0.219282322673135	0.393171086607567
Baden-Württemberg	2020-07-15	0.38904266390705	0.512836173366787	0.464917891313781	0.358494184040052	0.303888386034872	0.435569408421751
Baden-Württemberg	2020-07-22	0.33245830036103	0.415640897798102	0.393171086607567	0.261298908471367	0.206693110466187	0.393171086607567
Baden-Württemberg	2020-07-29	0.536955210188529	0.580032726733715	0.525043264743766	0.413099597231216	0.316095477411852	0.525043264743766
